time	V(vout)
Step Information: X=1  (Run: 1/5)
7.501999999999995e-04	2.084933e-01
7.502040000000008e-04	2.084409e-01
7.502120000000001e-04	2.083263e-01
7.502279999999986e-04	2.080596e-01
7.502548481716532e-04	2.075389e-01
7.502839352699041e-04	2.069057e-01
7.503213518834165e-04	2.060338e-01
7.503751198383625e-04	2.047470e-01
7.511278712075894e-04	1.870547e-01
7.519881584867084e-04	1.679596e-01
7.537087330449464e-04	1.330438e-01
7.571498821614224e-04	7.269282e-02
7.616885581608474e-04	7.556981e-03
7.663097574723103e-04	-4.433037e-02
7.707494692435896e-04	-8.192598e-02
7.768104109368811e-04	-1.193881e-01
7.838241421553767e-04	-1.494302e-01
7.927308220222785e-04	-1.737185e-01
8.027403919103580e-04	-1.896336e-01
8.152799324798628e-04	-1.999020e-01
8.300219536173763e-04	-2.052171e-01
8.493612202783545e-04	-2.074796e-01
8.693612202783536e-04	-2.077256e-01
8.893612202783528e-04	-2.071922e-01
9.093612202783520e-04	-2.064437e-01
9.493612202783504e-04	-2.048251e-01
1.000000000000001e-03	-2.027623e-01
1.000009999999999e-03	-2.027585e-01
1.000029999999999e-03	-2.027334e-01
1.000060000000001e-03	-2.026145e-01
1.000100000000000e-03	-2.023303e-01
1.000104000000002e-03	-2.022778e-01
1.000112000000001e-03	-2.021632e-01
1.000127999999999e-03	-2.018967e-01
1.000154753627778e-03	-2.013779e-01
1.000183786679314e-03	-2.007461e-01
1.000221049015194e-03	-1.998781e-01
1.000274634687392e-03	-1.985958e-01
1.001024834098186e-03	-1.809623e-01
1.001882204853376e-03	-1.619270e-01
1.003596946363761e-03	-1.271106e-01
1.007026429384526e-03	-6.691692e-02
1.011568625086796e-03	-1.665427e-03
1.016188667362947e-03	5.026742e-02
1.020630570928785e-03	8.783933e-02
1.026895368800931e-03	1.263729e-01
1.033985770650867e-03	1.564114e-01
1.043113435897056e-03	1.807912e-01
1.053225379700654e-03	1.963928e-01
1.066079815621495e-03	2.064538e-01
1.081062312026648e-03	2.115156e-01
1.100999200916712e-03	2.135916e-01
1.120999200916711e-03	2.137168e-01
1.140999200916711e-03	2.131246e-01
1.160999200916710e-03	2.123432e-01
1.200999200916708e-03	2.106745e-01
1.250100000000001e-03	2.086167e-01
1.250110000000002e-03	2.086129e-01
1.250130000000002e-03	2.085877e-01
1.250160000000000e-03	2.084688e-01
1.250200000000000e-03	2.081845e-01
1.250204000000001e-03	2.081320e-01
1.250212000000001e-03	2.080175e-01
1.250227999999999e-03	2.077508e-01
1.250254843441961e-03	2.072302e-01
1.250283927837006e-03	2.065971e-01
1.250321336729733e-03	2.057254e-01
1.250375095562951e-03	2.044388e-01
1.251127719228019e-03	1.867494e-01
1.251987860559522e-03	1.676573e-01
1.253708143222530e-03	1.327465e-01
1.257148708548549e-03	7.240338e-02
1.261687551522582e-03	7.261869e-03
1.266308693679174e-03	-4.462779e-02
1.270748514021543e-03	-8.222213e-02
1.276819853001352e-03	-1.197391e-01
1.283837493339251e-03	-1.497811e-01
1.292755402544168e-03	-1.740744e-01
1.302770146207013e-03	-1.899733e-01
1.315325600653752e-03	-2.002313e-01
1.330079718959681e-03	-2.055333e-01
1.349448974990813e-03	-2.077863e-01
1.369448974990813e-03	-2.080260e-01
1.389448974990812e-03	-2.074895e-01
1.409448974990811e-03	-2.067394e-01
1.449448974990809e-03	-2.051183e-01
1.500000000000001e-03	-2.030561e-01
